from;to;distance
1940;1907;308.35
1940;1908;217.16
1940;2351;273.68
1940;2356;179.89
1940;2358;542.39
1940;1940;0.00
1940;1923;214.66
1940;2368;175.74
1940;2369;187.05
1923;2217;282.23
1923;2228;311.69
1923;1777;195.19
1923;1781;384.04
1923;1807;298.34
1923;2244;138.56
1923;1836;51.77
1923;1791;352.01
1923;2263;125.30
1923;2204;219.63
1923;2267;429.19
1923;1808;332.41
1923;1816;250.31
1923;1818;341.14
1923;1820;242.95
1923;1826;507.00
1923;2274;238.38
1923;1834;262.96
1923;2599;239.11
1923;2301;105.75
1923;2310;230.98
1923;2311;401.49
1923;3052;131.88
1923;2316;177.34
1923;1881;17.13
1923;1904;210.13
1923;2329;298.26
1923;3513;249.36
1923;1887;119.68
1923;1889;353.47
1923;1907;107.56
1923;1908;309.75
1923;2351;156.30
1923;2356;81.94
1923;2358;506.95
1923;1940;214.66
1923;1923;0.00
1923;2368;176.92
1923;2369;399.63
2368;2217;350.49
2368;2228;306.84
2368;1777;106.87
2368;1781;270.74
2368;1807;136.49
2368;2244;284.28
2368;1836;166.20
2368;1791;327.60
2368;2263;236.71
2368;2204;350.23
2368;2267;265.63
2368;1808;342.62
2368;1816;276.85
2368;1818;170.85
2368;1820;289.21
2368;1826;357.11
2368;2274;315.16
2368;1834;311.67
2368;2599;126.72
2368;2301;113.51
2368;2310;284.59
2368;2311;285.05
2368;3052;169.12
2368;2316;291.26
2368;1881;187.70
2368;1904;152.18
2368;2329;138.91
2368;3513;227.79
2368;1887;57.26
2368;1889;176.71
2368;1907;281.74
2368;1908;136.55
2368;2351;318.74
2368;2356;95.09
2368;2358;376.96
2368;1940;175.74
2368;1923;176.92
2368;2368;0.00
2368;2369;339.76
2369;2217;665.61
2369;2228;644.65
2369;1777;446.62
2369;1781;127.63
2369;1807;267.88
2369;2244;376.70
2369;1836;349.15
2369;1791;79.23
2369;2263;321.58
2369;2204;369.46
2369;2267;505.35
2369;1808;145.08
2369;1816;188.71
2369;1818;298.33
2369;1820;216.83
2369;1826;611.77
2369;2274;624.24
2369;1834;634.35
2369;2599;461.50
2369;2301;302.42
2369;2310;229.63
2369;2311;133.83
2369;3052;269.13
2369;2316;574.42
2369;1881;416.70
2369;1904;491.56
2369;2329;430.59
2369;3513;565.90
2369;1887;349.58
2369;1889;355.43
2369;1907;485.67
2369;1908;310.27
2369;2351;424.78
2369;2356;365.53
2369;2358;662.20
2369;1940;187.05
2369;1923;399.63
2369;2368;339.76
2369;2369;0.00
