from;to;distance
1791;1836;300.29
1791;1791;0.00
1791;2263;258.43
1791;2204;293.86
1791;2267;529.53
1791;1808;66.34
1791;1816;117.39
1791;1818;327.51
1791;1820;142.84
1791;1826;635.49
1791;2274;585.55
1791;1834;601.11
1791;2599;453.92
1791;2301;265.35
1791;2310;156.49
1791;2311;194.15
1791;3052;220.40
1791;2316;529.28
1791;1881;368.63
1791;1904;474.48
1791;2329;438.22
1791;3513;545.17
1791;1887;324.29
1791;1889;382.22
1791;1907;427.97
1791;1908;330.99
1791;2351;355.83
1791;2356;332.48
1791;2358;678.13
1791;1940;155.26
1791;1923;352.01
1791;2368;327.60
1791;2369;79.23
2263;2217;402.97
2263;2228;436.44
2263;1777;296.97
2263;1781;344.94
2263;1807;315.73
2263;2244;61.71
2263;1836;85.95
2263;1791;258.43
2263;2263;0.00
2263;2204;113.52
2263;2267;502.24
2263;1808;223.46
2263;1816;143.60
2263;1818;364.94
2263;1820;127.51
2263;1826;592.52
2263;2274;359.00
2263;1834;387.05
2263;2599;337.14
2263;2301;123.61
2263;2310;113.87
2263;2311;362.85
2263;3052;82.38
2263;2316;291.02
2263;1881;137.23
2263;1904;322.57
2263;2329;374.88
2263;3513;371.27
2263;1887;189.41
2263;1889;394.96
2263;1907;171.65
2263;1908;342.11
2263;2351;109.91
2263;2356;165.47
2263;2358;604.87
2263;1940;163.81
2263;1923;125.30
2263;2368;236.71
2263;2369;321.58
2204;2217;471.24
2204;2228;526.55
2204;1777;406.25
2204;1781;424.10
2204;1807;421.84
2204;2244;82.22
2204;1836;193.80
2204;1791;293.86
2204;2263;113.52
2204;2204;0.00
2204;2267;615.71
2204;1808;238.11
2204;1816;181.93
2204;1818;471.60
2204;1820;152.78
2204;1826;705.82
2204;2274;428.56
2204;1834;464.42
2204;2599;447.75
2204;2301;237.00
2204;2310;140.66
2204;2311;441.32
2204;3052;189.66
2204;2316;353.73
2204;1881;225.90
2204;1904;427.79
2204;2329;488.35
2204;3513;468.43
2204;1887;302.24
2204;1889;505.27
2204;1907;213.93
2204;1908;451.32
2204;2351;95.66
2204;2356;275.83
2204;2358;716.45
2204;1940;253.58
2204;1923;219.63
2204;2368;350.23
2204;2369;369.46
2267;2217;468.53
2267;2228;354.95
2267;1777;246.75
2267;1781;386.54
2267;1807;241.52
2267;2244;549.09
2267;1836;429.65
2267;1791;529.53
2267;2263;502.24
2267;2204;615.71
2267;2267;0.00
2267;1808;566.95
2267;1816;519.27
2267;1818;207.16
2267;1820;538.32
2267;1826;106.48
2267;2274;454.28
2267;1834;422.25
2267;2599;205.01
2267;2301;378.72
2267;2310;536.81
2267;2311;389.52
2267;3052;430.78
2267;2316;473.51
2267;1881;435.21
2267;1904;262.67
2267;2329;130.96
2267;3513;306.13
2267;1887;317.42
2267;1889;149.94
2267;1907;522.01
2267;1908;198.54
2267;2351;580.69
2267;2356;350.74
2267;2358;165.61
2267;1940;407.55
2267;1923;429.19
2267;2368;265.63
2267;2369;505.35
1808;2217;614.04
1808;2228;622.05
1808;1777;441.57
1808;1781;243.65
1808;1807;328.12
1808;2244;265.86
1808;1836;281.29
1808;1791;66.34
1808;2263;223.46
1808;2204;238.11
